Year,Year ending,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"Rate per 100,000 population"
2019,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 111 , 1.7 
2019,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 50 , 0.8 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,107 ", 16.8 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 823 , 12.5 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 650 , 9.9 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 581 , 8.8 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,483 ", 37.6 
2019,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 2,120 ", 32.1 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 824 , 12.5 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 34 , 0.5 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 817 , 12.4 
2019,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 2,197 ", 33.3 
2019,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,151 ", 32.6 
2019,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 55 , 0.8 
2019,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 549 , 8.3 
2019,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 31,760 ", 481.5 
2019,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,785 ", 42.2 
2019,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 305 , 4.6 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 3,528 ", 53.5 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 96 , 1.5 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 23,196 ", 351.7 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 12,428 ", 188.4 
2019,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 74 , 1.1 
2019,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 14,938 ", 226.5 
2019,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 55,558 ", 842.4 
2019,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 20,855 ", 316.2 
2019,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 7,374 ", 111.8 
2019,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 7,524 ", 114.1 
2019,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 21 , 0.3 
2019,December,B Property and deception offences,B40 Theft,B49 Other theft," 41,925 ", 635.7 
2019,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,483 ", 37.6 
2019,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 3 , 0.0 
2019,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 19,218 ", 291.4 
2019,December,B Property and deception offences,B50 Deception,B54 State false information, 795 , 12.1 
2019,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 4 , 0.1 
2019,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 49 , 0.7 
2019,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 121 , 1.8 
2019,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 4 , 0.1 
2019,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 43 , 0.7 
2019,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 3,038 ", 46.1 
2019,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 910 , 13.8 
2019,December,C Drug offences,C20 Cultivate or manufacture drugs,C22 Manufacture drugs, 2 , 0.0 
2019,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 259 , 3.9 
2019,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 308 , 4.7 
2019,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 12,288 ", 186.3 
2019,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 42 , 0.6 
2019,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 2,204 ", 33.4 
2019,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 7,244 ", 109.8 
2019,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 167 , 2.5 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 495 , 7.5 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 6,427 ", 97.4 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 2,250 ", 34.1 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 528 , 8.0 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 477 , 7.2 
2019,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 239 , 3.6 
2019,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 49 , 0.7 
2019,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 135 , 2.0 
2019,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 187 , 2.8 
2019,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,634 ", 24.8 
2019,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 87 , 1.3 
2019,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 39 , 0.6 
2019,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 1 , 0.0 
2019,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 76 , 1.2 
2019,December,E Justice procedures offences,E10 Justice procedures,E12 Fail to appear, 3 , 0.0 
2019,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 5,766 ", 87.4 
2019,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 517 , 7.8 
2019,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 538 , 8.2 
2019,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences," 1,066 ", 16.2 
2019,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 21,521 ", 326.3 
2019,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 2,601 ", 39.4 
2019,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 16,857 ", 255.6 
2019,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders," 1,575 ", 23.9 
2019,December,F Other offences,F10 Regulatory driving offences,F11 Drink driving, 2 , 0.0 
2019,December,F Other offences,F10 Regulatory driving offences,F15 Licensing offences, 1 , 0.0 
2019,December,F Other offences,F10 Regulatory driving offences,F16 Registration and roadworthiness offences, 1 , 0.0 
2019,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 10 , 0.2 
2019,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 113 , 1.7 
2019,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 3 , 0.0 
2019,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 88 , 1.3 
2019,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 7 , 0.1 
2019,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 23 , 0.3 
2019,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 32 , 0.5 
2019,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 42 , 0.6 
2019,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 69 , 1.0 
2019,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 38 , 0.6 
2019,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 14 , 0.2 
2019,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 40 , 0.6 
2019,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 33 , 0.5 
2019,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 49 , 0.7 
2019,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 149 , 2.3 
2019,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 9 , 0.1 
2019,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 26 , 0.4 
2018,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 53 , 0.8 
2018,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 26 , 0.4 
2018,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 12 , 0.2 
2018,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 76 , 1.2 
2018,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,767 ", 120.2 
2018,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,776 ", 135.8 
2018,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,993 ", 30.8 
2018,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 11,993 ", 185.6 
2018,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 9,503 ", 147.1 
2018,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 3,171 ", 49.1 
2018,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,792 ", 58.7 
2018,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 245 , 3.8 
2018,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 848 , 13.1 
2018,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 393 , 6.1 
2018,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 104 , 1.6 
2018,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 341 , 5.3 
2018,December,A Crimes against the person,A40 Abduction and related offences,A43 Slavery and sexual servitude offences, 1 , 0.0 
2018,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,217 ", 34.3 
2018,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 286 , 4.4 
2018,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 124 , 1.9 
2018,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 48 , 0.7 
2018,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,101 ", 17.0 
2018,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 831 , 12.9 
2018,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 503 , 7.8 
2018,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 539 , 8.3 
2018,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,153 ", 33.3 
2018,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,972 ", 30.5 
2018,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving," 1,005 ", 15.6 
2018,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 51 , 0.8 
2018,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 824 , 12.8 
2018,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 2,273 ", 35.2 
2018,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,304 ", 35.7 
2018,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 40 , 0.6 
2018,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 700 , 10.8 
2018,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 31,499 ", 487.5 
2018,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,524 ", 39.1 
2018,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 330 , 5.1 
2018,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 2,911 ", 45.1 
2018,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 109 , 1.7 
2018,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 2 , 0.0 
2018,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 22,769 ", 352.4 
2018,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 12,187 ", 188.6 
2018,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 76 , 1.2 
2018,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 13,989 ", 216.5 
2018,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 51,686 ", 800.0 
2018,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 18,815 ", 291.2 
2018,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 6,261 ", 96.9 
2018,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 7,269 ", 112.5 
2018,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 91 , 1.4 
2018,December,B Property and deception offences,B40 Theft,B49 Other theft," 38,416 ", 594.6 
2018,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,085 ", 32.3 
2018,December,B Property and deception offences,B50 Deception,B52 Possess equipment to make false instrument, 6 , 0.1 
2018,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 18,863 ", 292.0 
2018,December,B Property and deception offences,B50 Deception,B54 State false information, 764 , 11.8 
2018,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 11 , 0.2 
2018,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 54 , 0.8 
2018,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 91 , 1.4 
2018,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 4 , 0.1 
2018,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 51 , 0.8 
2018,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 2,978 ", 46.1 
2018,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 840 , 13.0 
2018,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 183 , 2.8 
2018,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 485 , 7.5 
2018,December,C Drug offences,C30 Drug use and possession,C32 Drug possession," 11,119 ", 172.1 
2018,December,C Drug offences,C90 Other drug offences,C99 Other drug offences, 31 , 0.5 
2018,December,D Public order and security offences,D10 Weapons and explosives offences,D11 Firearms offences," 2,136 ", 33.1 
2018,December,D Public order and security offences,D10 Weapons and explosives offences,D12 Prohibited and controlled weapons offences," 7,202 ", 111.5 
2018,December,D Public order and security offences,D10 Weapons and explosives offences,D13 Explosives offences, 176 , 2.7 
2018,December,D Public order and security offences,D20 Disorderly and offensive conduct,D21 Riot and affray, 433 , 6.7 
2018,December,D Public order and security offences,D20 Disorderly and offensive conduct,D22 Drunk and disorderly in public," 8,053 ", 124.6 
2018,December,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct," 2,633 ", 40.8 
2018,December,D Public order and security offences,D20 Disorderly and offensive conduct,D24 Offensive language, 686 , 10.6 
2018,December,D Public order and security offences,D20 Disorderly and offensive conduct,D25 Criminal intent, 481 , 7.4 
2018,December,D Public order and security offences,D20 Disorderly and offensive conduct,D26 Disorderly conduct, 229 , 3.5 
2018,December,D Public order and security offences,D30 Public nuisance offences,D31 Privacy offences, 37 , 0.6 
2018,December,D Public order and security offences,D30 Public nuisance offences,D32 Hoaxes, 142 , 2.2 
2018,December,D Public order and security offences,D30 Public nuisance offences,D33 Begging, 145 , 2.2 
2018,December,D Public order and security offences,D30 Public nuisance offences,D35 Improper movement on public or private space," 1,627 ", 25.2 
2018,December,D Public order and security offences,D30 Public nuisance offences,D36 Other public nuisance offences, 79 , 1.2 
2018,December,D Public order and security offences,D40 Public security offences,D43 Hacking, 14 , 0.2 
2018,December,D Public order and security offences,D40 Public security offences,D44 Terrorism offences, 5 , 0.1 
2018,December,D Public order and security offences,D40 Public security offences,D49 Other public security offences, 1 , 0.0 
2018,December,E Justice procedures offences,E10 Justice procedures,E11 Escape custody, 84 , 1.3 
2018,December,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer," 5,166 ", 80.0 
2018,December,E Justice procedures offences,E10 Justice procedures,E14 Pervert the course of justice or commit perjury, 546 , 8.5 
2018,December,E Justice procedures offences,E10 Justice procedures,E15 Prison regulation offences, 682 , 10.6 
2018,December,E Justice procedures offences,E10 Justice procedures,E19 Other justice procedures offences," 1,129 ", 17.5 
2018,December,E Justice procedures offences,E20 Breaches of orders,E21 Breach family violence order," 19,908 ", 308.1 
2018,December,E Justice procedures offences,E20 Breaches of orders,E22 Breach intervention order," 2,350 ", 36.4 
2018,December,E Justice procedures offences,E20 Breaches of orders,E23 Breach bail conditions," 17,698 ", 273.9 
2018,December,E Justice procedures offences,E20 Breaches of orders,E29 Breach of other orders," 1,145 ", 17.7 
2018,December,F Other offences,F10 Regulatory driving offences,F14 Parking offences, 1 , 0.0 
2018,December,F Other offences,F10 Regulatory driving offences,F19 Other regulatory driving offences, 1 , 0.0 
2018,December,F Other offences,F20 Transport regulation offences,F21 Public transport, 147 , 2.3 
2018,December,F Other offences,F20 Transport regulation offences,F22 Aviation regulations offences, 4 , 0.1 
2018,December,F Other offences,F20 Transport regulation offences,F23 Maritime regulations offences, 70 , 1.1 
2018,December,F Other offences,F20 Transport regulation offences,F24 Pedestrian offences, 11 , 0.2 
2018,December,F Other offences,F20 Transport regulation offences,F29 Other transport regulation offences, 33 , 0.5 
2018,December,F Other offences,F30 Other government regulatory offences,F31 Betting and gaming offences, 30 , 0.5 
2018,December,F Other offences,F30 Other government regulatory offences,F32 Commercial regulation offences, 43 , 0.7 
2018,December,F Other offences,F30 Other government regulatory offences,F33 Liquor and tobacco licensing offences, 83 , 1.3 
2018,December,F Other offences,F30 Other government regulatory offences,F34 Pornography and censorship offences, 34 , 0.5 
2018,December,F Other offences,F30 Other government regulatory offences,F35 Intellectual property, 2 , 0.0 
2018,December,F Other offences,F30 Other government regulatory offences,F36 Prostitution offences, 29 , 0.4 
2018,December,F Other offences,F30 Other government regulatory offences,F39 Other government regulatory offences, 27 , 0.4 
2018,December,F Other offences,F90 Miscellaneous offences,F91 Environmental offences, 29 , 0.4 
2018,December,F Other offences,F90 Miscellaneous offences,F92 Public health and safety offences, 109 , 1.7 
2018,December,F Other offences,F90 Miscellaneous offences,F93 Cruelty to animals, 141 , 2.2 
2018,December,F Other offences,F90 Miscellaneous offences,F94 Dangerous substance offences, 16 , 0.2 
2018,December,F Other offences,F90 Miscellaneous offences,F99 Other miscellaneous offences, 44 , 0.7 
2017,December,A Crimes against the person,A10 Homicide and related offences,A11 Murder, 53 , 0.8 
2017,December,A Crimes against the person,A10 Homicide and related offences,A12 Attempted murder, 37 , 0.6 
2017,December,A Crimes against the person,A10 Homicide and related offences,A14 Manslaughter & A13  Accessory/ conspiracy to murder, 18 , 0.3 
2017,December,A Crimes against the person,A10 Homicide and related offences,A15 Driving causing death, 81 , 1.3 
2017,December,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault," 7,785 ", 123.1 
2017,December,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault," 8,904 ", 140.9 
2017,December,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer"," 1,952 ", 30.9 
2017,December,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault," 11,751 ", 185.9 
2017,December,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault," 8,723 ", 138.0 
2017,December,A Crimes against the person,A30 Sexual offences,A31 Rape," 3,096 ", 49.0 
2017,December,A Crimes against the person,A30 Sexual offences,A32 Indecent assault," 3,797 ", 60.1 
2017,December,A Crimes against the person,A30 Sexual offences,A33 Incest, 231 , 3.7 
2017,December,A Crimes against the person,A30 Sexual offences,A34 Sexual offences against children, 695 , 11.0 
2017,December,A Crimes against the person,A30 Sexual offences,A39 Other sexual offences, 363 , 5.7 
2017,December,A Crimes against the person,A40 Abduction and related offences,A41 Abduction, 103 , 1.6 
2017,December,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment, 301 , 4.8 
2017,December,A Crimes against the person,A50 Robbery,A51 Aggravated robbery," 2,288 ", 36.2 
2017,December,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery, 273 , 4.3 
2017,December,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail, 83 , 1.3 
2017,December,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion, 41 , 0.6 
2017,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking," 1,002 ", 15.9 
2017,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking, 842 , 13.3 
2017,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance, 516 , 8.2 
2017,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance, 531 , 8.4 
2017,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour," 2,129 ", 33.7 
2017,December,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour," 1,754 ", 27.7 
2017,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving, 947 , 15.0 
2017,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A82 Neglect or ill treatment of people, 46 , 0.7 
2017,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people, 859 , 13.6 
2017,December,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people," 2,494 ", 39.5 
2017,December,B Property and deception offences,B10 Arson,B11 Cause damage by fire," 2,513 ", 39.8 
2017,December,B Property and deception offences,B10 Arson,B12 Cause a bushfire, 63 , 1.0 
2017,December,B Property and deception offences,B10 Arson,B19 Other fire related offences, 463 , 7.3 
2017,December,B Property and deception offences,B20 Property damage,B21 Criminal damage," 32,760 ", 518.2 
2017,December,B Property and deception offences,B20 Property damage,B22 Graffiti," 2,785 ", 44.1 
2017,December,B Property and deception offences,B20 Property damage,B29 Other property damage offences, 295 , 4.7 
2017,December,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary," 3,080 ", 48.7 
2017,December,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary, 115 , 1.8 
2017,December,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary, 2 , 0.0 
2017,December,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary," 27,139 ", 429.3 
2017,December,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary," 13,427 ", 212.4 
2017,December,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary, 82 , 1.3 
2017,December,B Property and deception offences,B40 Theft,B41 Motor vehicle theft," 13,944 ", 220.6 
2017,December,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle," 49,493 ", 782.9 
2017,December,B Property and deception offences,B40 Theft,B43 Steal from a retail store," 17,888 ", 283.0 
2017,December,B Property and deception offences,B40 Theft,B44 Theft of a bicycle," 5,873 ", 92.9 
2017,December,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods," 7,416 ", 117.3 
2017,December,B Property and deception offences,B40 Theft,B46 Fare evasion, 72 , 1.1 
2017,December,B Property and deception offences,B40 Theft,B49 Other theft," 35,610 ", 563.3 
2017,December,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting," 2,055 ", 32.5 
2017,December,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception," 17,406 ", 275.3 
2017,December,B Property and deception offences,B50 Deception,B54 State false information, 815 , 12.9 
2017,December,B Property and deception offences,B50 Deception,B55 Deceptive business practices, 4 , 0.1 
2017,December,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation, 70 , 1.1 
2017,December,B Property and deception offences,B50 Deception,B59 Other deception offences, 88 , 1.4 
2017,December,B Property and deception offences,B60 Bribery,B61 Bribery of officials, 4 , 0.1 
2017,December,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing, 21 , 0.3 
2017,December,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking," 2,733 ", 43.2 
2017,December,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs, 749 , 11.8 
2017,December,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor, 228 , 3.6 
2017,December,C Drug offences,C30 Drug use and possession,C31 Drug use, 522 , 8.3 
